Instrumentals,writer,school,co-writer,date,assistant,Record Status,recording,publisher,ISWC,ISRC,Tuning,ASCAP,©,midi,s/I/k,year,assist,notes,t,u,v,w,x
"Noodle, The Big Pink Poodle",Paul Reisler,Patrick Henry,,42081.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Love to Cook But I'm Tired of Cooking (Catfish Row),Paul Reisler,Patrick Henry,,42082.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Lonely Guy,Paul Reisler,Patrick Henry,,42083.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Frozen in Time,Paul Reisler,Patrick Henry,,42080.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Three Angels,Paul Reisler,Patrick Henry,,42081.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Blues of Night,Paul Reisler,Patrick Henry,,42082.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I See the Light,Paul Reisler,Pocahontas,,42075.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Three Folk Singers (Three Folk Musicians),Paul Reisler,Pocahontas,,42075.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
The Eye of My Hurricane,Paul Reisler,Pocahontas,,42075.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Wonderful Music,Paul Reisler,Pocahontas,,42075.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Forgot About the Music,Paul Reisler,Powhatan,,42073.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
If I Were a Cowboy,Paul Reisler,Powhatan,,42073.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Roadside Meeting,Paul Reisler,Powhatan,,42073.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Abundance,Paul Reisler,Powhatan,,42073.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Tell Me Your Story,Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
"Oh No, It's Valentine's Day",Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Keep My Dreams at the End of the Rainbow,Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Want to write a Love Song,Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Some People Like to Sing in the Shower,Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Colors of My Rainbow,Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
"60,000 Kids",Paul Reisler,Waianae,,42048.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Give My Parents Homework,Paul Reisler,Kula Elementary ,,42041.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Cupid Shot His Arrow,Paul Reisler,Kula Elementary ,,42041.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
He Took My Idea,Paul Reisler,Kula Elementary ,,42041.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
